,Light,Pheromone
CH01,0,1
CH02,0,1
CH03,0,1
CH04,0,1
CL01,1,0
CL02,1,0
CL03,1,0
GL01,1,0
GL02,1,0
GL03,1,0
GL04,1,0
HH01,0,1
HH02,0,1
HH03,0,1
HH04,0,1
HL01,1,0
HL02,1,0
HL03,1,0
LH01,0,1
LH02,0,1
LH03,0,1
LH04,0,1
LL01,1,0
LL03,1,0
ML01,1,0
ML02,1,0
ML03,1,0
ML04,1,0
RH01,0,1
RH02,0,1
RH03,0,1
RH04,0,1
RL01,1,0
RL02,1,0
RL03,1,0
SH01,0,1
SH02,0,1
SH03,0,1
SH04,0,1
XX01,0,1
XX02,0,1
XX03,0,1
XX04,0,1
