sample_id,condition
SRR6507319,Abdomen_M
SRR6507320,Abdomen_F
SRR6507321,Head_F
SRR6507322,Head_M
SRR6507336,ovaries_F
SRR6507337,testes_M
SRR6507339,Antennae_M
SRR6507340,Antennae_F
SRR6507341,Thorax_M
SRR6507342,Thorax_F
